,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot cases/1m_pop,deaths/1m_pop,total_tests,tests/_1m_pop,lat,long
135,Rwanda,273,0,0,0,136,137,0,21.0,0,40187,3103,-1.940278,29.873888
136,Zambia,252,85,7,3,112,133,1,14.0,0,10270,559,-13.133897,27.849332
137,Cabo Verde,236,6,2,0,44,190,0,424.0,4,791,1423,16.5388,23.0418
138,Ethiopia,210,16,5,1,97,108,1,2.0,0,32689,284,9.145,40.489673
139,Sao Tome and Principe,208,0,5,0,4,199,0,949.0,23,175,799,0.1864,6.6131
140,Liberia,199,0,20,0,79,100,0,39.0,4,0,0,6.4280550000000005,-9.429499
141,Madagascar,193,0,0,0,101,92,1,7.0,0,3968,143,-18.766947000000002,46.869107
142,Faeroe Islands,187,0,0,0,187,0,0,3827.0,0,8403,171971,61.8926,6.9118
143,Martinique,186,0,14,0,83,89,3,496.0,37,0,0,14.641528,-61.024174
144,Myanmar,178,1,6,0,68,104,0,3.0,0,10848,199,21.9162,95.956
145,Eswatini,159,0,2,0,12,145,0,137.0,2,714,615,26.5225,31.4659
146,Guadeloupe,154,0,13,0,104,37,4,385.0,32,0,0,16.995971,-62.067641
147,Togo,153,8,10,0,87,56,0,18.0,1,10094,1219,8.619543,0.824782
148,Haiti,146,0,12,0,17,117,0,13.0,1,1145,100,18.971187,-72.285215
149,Gibraltar,146,0,0,0,142,4,0,4334.0,0,3366,99908,36.137741,-5.345374
150,CAR,143,0,0,0,10,133,0,30.0,0,3498,724,6.6111,20.9394
151,Brunei,141,0,1,0,132,8,2,322.0,2,15482,35389,4.535277,114.727669
152,French Guiana,141,0,1,0,119,21,0,472.0,3,0,0,3.9338889999999997,-53.125782
153,Cambodia,122,0,0,0,120,2,1,7.0,0,13173,788,12.565679,104.990963
154,South Sudan,120,0,0,0,2,118,0,11.0,0,1247,111,6.877000000000001,31.307
155,Bermuda,118,0,7,0,64,47,4,1895.0,112,3854,61884,32.321384,-64.75737
156,Trinidad and Tobago,116,0,8,0,103,5,0,83.0,6,2241,1601,10.691803,-61.222503
157,Uganda,114,13,0,0,55,59,0,2.0,0,53872,1178,1.373333,32.290275
